dim,ga_mean,ga_std,gb_mean,gb_std,ga_minus_b_mean,ga_minus_b_std,count
447,3.440930385067986e-08,1.2572547802847112e-07,6.430096455289913e-09,2.6314397771898257e-08,2.7979213612638887e-08,1.2429627815890854e-07,50
448,3.085683264458794e-09,1.0037401132478863e-08,4.497182626295171e-09,1.7823250431092674e-08,-1.4114999169478892e-09,1.8936159307259004e-08,50
449,1.2045318520392811e-08,5.180553230843543e-08,4.951961507515534e-09,2.6230344118971516e-08,7.0933561246988575e-09,5.6444427798396646e-08,50
450,1.6435627969713096e-08,5.05905646264182e-08,4.054232505268374e-09,1.4770520806450804e-08,1.238140079351524e-08,4.87622813238886e-08,50
451,2.0115210830340402e-08,6.97073971878126e-08,3.668527526201615e-08,1.7314528122369666e-07,-1.6570066208032586e-08,1.7895214909913193e-07,50
452,5.001053793307619e-09,1.6915189249289142e-08,1.0347211976124981e-08,3.98596746720159e-08,-5.3461599591742015e-09,4.1996354838147454e-08,50
453,5.326652452453118e-09,1.7603806412580525e-08,1.880840159174113e-07,4.931806643071468e-07,-1.8275737545536686e-07,4.891042522103817e-07,50
454,7.327445761262652e-09,2.4543520993347556e-08,3.6557983548846096e-05,0.00011444207484601066,-3.655065665952861e-05,0.00011444151459727436,50
455,8.47933900871567e-09,3.170586282408294e-08,6.11742289038375e-05,0.0001378422457491979,-6.116575968917459e-05,0.00013783329632133245,50
456,1.3400661913465228e-08,4.082881943645589e-08,3.0091090593487024e-05,4.953062307322398e-05,-3.0077686460572295e-05,4.949875801685266e-05,50
457,1.0210417713096831e-05,2.4691798898857087e-05,5.092804400419482e-08,1.6210974251862353e-07,1.0159490557271056e-05,2.4623217541375197e-05,50
458,1.3033743016421795e-05,2.931436574726831e-05,0.00024295713228639215,0.0005233021220192313,-0.00022992334561422467,0.0005249245441518724,50
459,1.0605991519696545e-05,2.1429093976621516e-05,2.82791063455079e-07,7.86403745678399e-07,1.0323199603590183e-05,2.1422276404337026e-05,50
460,0.000153661472722888,0.0003283563128206879,2.801347818603972e-06,8.28716565592913e-06,0.000150860141729936,0.00032814231235533953,50
461,9.480892231295002e-07,3.4589579627208877e-06,3.8424587955887546e-08,1.2226526280301186e-07,9.096646635953221e-07,3.4184320156782633e-06,50
462,1.71156589203747e-05,4.403965431265533e-05,6.912789274338138e-08,1.4033253137313295e-07,1.7046531866071746e-05,4.3989748519379646e-05,50
463,7.584553532069549e-05,0.00022744019224774092,1.5170353435678408e-05,5.480217805597931e-05,6.067518188501708e-05,0.00023662442981731147,50
464,2.0582792785717174e-06,5.5823843467806e-06,4.6718042767679435e-07,1.5145456018217374e-06,1.5910986803646665e-06,5.319169758877251e-06,50
465,3.823652150458656e-06,1.009091101877857e-05,3.2969902363788606e-09,1.6705788752346962e-08,3.820354322670028e-06,1.0090298928844277e-05,50
466,9.687572628536145e-07,3.3232679470529547e-06,0.00031330587808042765,0.0006237608031369746,-0.0003123372152913362,0.0006238361238501966,50
467,2.008846280432408e-07,6.933134386599704e-07,0.000193253334145993,0.0006118246237747371,-0.00019305245950818062,0.0006118087912909687,50
468,2.3475853595300578e-05,4.650984556064941e-05,8.735524374969827e-07,5.130852514412254e-06,2.2602300305152312e-05,4.696462201536633e-05,50
469,9.299886016833625e-08,2.3269109306056635e-07,0.00028046229272149503,0.0005853637121617794,-0.00028036930598318577,0.000585320929531008,50
470,1.2808798601326998e-05,2.2276337404036894e-05,2.3506283923779847e-06,5.416783096734434e-06,1.0458170436322689e-05,2.2447095034294762e-05,50
471,0.002895661862567067,0.005902785342186689,1.9974685017132288e-07,4.667591610996169e-07,0.0028954623267054558,0.005902675446122885,50
472,3.1759086471794262e-09,1.1400362431857047e-08,5.7536664321844455e-09,1.8350304387126926e-08,-2.577758451138834e-09,1.869425325651264e-08,50
473,6.328802815147583e-09,2.736953952364729e-08,2.814471997680812e-07,1.0943067536572926e-06,-2.75118395620666e-07,1.0901269433816196e-06,50
474,1.7249483619252715e-07,5.315529847393918e-07,4.843613954363946e-09,1.88205433460098e-08,1.676512084713977e-07,5.283474706629931e-07,50
475,8.286338726293252e-09,3.6132757230689094e-08,5.578411510498427e-09,1.9868917178200718e-08,2.7079258835271958e-09,3.837602591261202e-08,50
476,1.0647076997827298e-08,3.7974778877014614e-08,9.550595869711742e-09,5.028736893564201e-08,1.096478685624902e-09,6.04867480547e-08,50
477,7.498484499990354e-09,3.233039791439296e-08,5.768835631414504e-09,3.0179233334592936e-08,1.7296477583528258e-09,4.3255365511640775e-08,50
478,8.17477463499472e-09,3.150674388052721e-08,7.316520722611131e-09,2.9957512026612676e-08,8.582532462497738e-10,4.1998102773277424e-08,50
479,4.2666023603032954e-08,1.1716388570448544e-07,4.650444918041785e-09,1.711390495984233e-08,3.801558179361564e-08,1.1437951030757176e-07,50
480,3.2584819109615637e-07,8.60184798057162e-07,1.5611417936156613e-08,8.534608753052453e-08,3.1023679980535235e-07,8.574072580813663e-07,50
481,7.4135861893864785e-09,2.657743358724929e-08,1.3630892858884636e-08,5.7891551108468775e-08,-6.2173084458549965e-09,6.092686533065717e-08,50
482,1.2639421953508645e-08,5.332637798005635e-08,6.296442006714642e-05,0.00012366885493975133,-6.295177445281297e-05,0.00012366785085760057,50
483,7.231812924146652e-05,0.0001192441486637108,5.200948116623749e-09,2.3466611764888512e-08,7.231293420773e-05,0.00011923570855287835,50
484,4.178962509371331e-09,1.7117473660732685e-08,3.220742428311496e-07,1.1073568657593569e-06,-3.1789525678505015e-07,1.1036676141884527e-06,50
485,2.190087252529338e-05,3.826120155281387e-05,1.1730426763278956e-07,4.0917564092524117e-07,2.1783565898658708e-05,3.826028114417568e-05,50
486,0.00023702080943621695,0.000595836725551635,0.00032517206273041666,0.0011822771048173308,-8.815124601824209e-05,0.0013617147924378514,50
