dim,ga_mean,ga_std,gb_mean,gb_std,ga_minus_b_mean,ga_minus_b_std,count
224,1.117110173254332e-06,2.4227499579865253e-06,5.176258355277241e-07,1.7477352685091319e-06,5.994843377266079e-07,2.4026551272982033e-06,203
225,5.316430815582862e-07,1.3861732668374316e-06,4.6332391434589226e-07,1.338118408966693e-06,6.831911036897509e-08,1.4461237469731714e-06,203
226,9.595322580935317e-07,2.135653858204023e-06,6.625160153816978e-07,2.2340768737194594e-06,2.970162427118339e-07,2.138830268449965e-06,203
227,3.248462121518969e-07,9.50536332311458e-07,6.651592912021442e-07,2.3858456188463606e-06,-3.4031299378511903e-07,2.2877973151480546e-06,203
228,5.33619754605752e-07,1.1717833103830344e-06,2.822639544319827e-06,7.100015864125453e-06,-2.2890203581482638e-06,6.604314421565505e-06,203
229,8.970994826995593e-07,2.763557404250605e-06,1.3891414027966675e-06,4.49386016043718e-06,-4.92042431687878e-07,4.428118245414225e-06,203
230,5.868701464351034e-06,1.1905043720616959e-05,9.117355148191564e-06,2.4142063921317458e-05,-3.2486564123246353e-06,2.3233202227856964e-05,203
231,4.800888564204797e-05,7.951264706207439e-05,4.623147106030956e-05,8.925068686949089e-05,1.7774210618881625e-06,0.00010214838403044268,203
232,6.128622044343501e-05,9.920149750541896e-05,1.673088081588503e-05,3.126458977931179e-05,4.4555348722497e-05,0.00010212276538368315,203
233,7.709687110946106e-07,1.986108600249281e-06,5.9243597206659615e-05,0.00012973530101589859,-5.84726149099879e-05,0.00012855144450441003,203
234,0.0003801707935053855,0.0005154177779331803,1.5003273574620835e-06,4.791052560904063e-06,0.00037867057835683227,0.0005139184067957103,203
235,0.002175789326429367,0.004094922915101051,8.65281378992222e-07,2.5887895844789455e-06,0.0021749238949269056,0.004094872623682022,203
236,0.00024387857411056757,0.00029915268532931805,4.18758963860455e-06,9.945610145223327e-06,0.0002396909549133852,0.00029533213819377124,203
237,0.0002041367260972038,0.0002930067712441087,1.70556904777186e-05,4.2339685023762286e-05,0.00018708108109422028,0.0002781846560537815,203
238,0.004139864817261696,0.007449097000062466,0.014984033070504665,0.040726207196712494,-0.010844167321920395,0.041840534657239914,203
239,0.0009922093013301492,0.0021999175660312176,0.00079970876686275,0.001121715409681201,0.00019250094192102551,0.002479218179360032,203
240,2.134097940142965e-06,5.46277033208753e-06,0.002114224713295698,0.0027506316546350718,-0.0021120908204466105,0.0027506789192557335,203
241,0.006681123748421669,0.010023213922977448,0.0007671984494663775,0.0024523178581148386,0.0059139239601790905,0.010577058419585228,203
