dim,ga_mean,ga_std,gb_mean,gb_std,ga_minus_b_mean,ga_minus_b_std,count
70,2.2403921207114763e-07,1.1001935718013556e-06,7.31135259002258e-08,2.4840267087711254e-07,1.5092568617092184e-07,8.739221470932534e-07,59
71,3.038803697563708e-07,1.4703983879371663e-06,9.226253894212277e-08,2.9465019224517164e-07,2.1161784502510272e-07,1.2146592780482024e-06,59
72,2.471057598540938e-07,1.1460989526312915e-06,4.0747313079236847e-08,1.555035566980223e-07,2.0635839348415175e-07,9.990330909204204e-07,59
73,4.880500341641891e-07,2.015013023992651e-06,3.597223141582617e-08,1.1958293555380806e-07,4.5207801235847e-07,1.9051917661272455e-06,59
74,2.205276103950382e-07,1.0652705668690032e-06,5.720564288935748e-08,2.092430406719359e-07,1.6332198526924913e-07,8.673159754835069e-07,59
75,6.416447035917372e-07,2.5786857804632746e-06,3.0048234123114526e-08,1.1033164781792948e-07,6.115964197306312e-07,2.474289431120269e-06,59
76,2.0767659236753389e-07,9.82752681011334e-07,3.5187333935482457e-08,1.2880252597824438e-07,1.7248920869405993e-07,8.615977549197851e-07,59
77,2.0270708489533718e-07,9.499876796326134e-07,9.832577774204765e-08,3.2527916005165025e-07,1.043813284695716e-07,6.540547019540099e-07,59
78,2.4630125494695676e-07,1.116954990720842e-06,5.4775675550899905e-08,1.7463000290263153e-07,1.9152555807977478e-07,9.602804311725777e-07,59
79,1.454474300999209e-07,7.456789035131806e-07,5.456608676013275e-08,1.7264571283703845e-07,9.0881400183207e-08,5.945544785390666e-07,59
80,1.7494915027782554e-07,8.662520372126892e-07,6.712544120546227e-08,2.1844859077191359e-07,1.0782370907236327e-07,6.748871896888886e-07,59
81,2.0288801749757113e-07,8.94685683761054e-07,6.991415091306408e-08,2.467313038323482e-07,1.3297386658450705e-07,6.63675734813296e-07,59
82,3.4277618965461443e-07,1.5072326959852944e-06,9.540073619973555e-08,3.1004901757114567e-07,2.473753681897506e-07,1.2251344969627098e-06,59
83,1.9791809791058768e-07,1.047242221829947e-06,5.667925861985168e-08,1.8506567300846655e-07,1.4123884284344967e-07,8.799893862487806e-07,59
84,2.088494142071795e-07,1.0101508678417304e-06,7.780834465620501e-08,2.6196460112259956e-07,1.310410340238377e-07,7.702757898186974e-07,59
85,2.709878970108548e-07,1.2604486983036622e-06,8.072179724649686e-08,2.6491372295822657e-07,1.9026614950234944e-07,1.021880962071009e-06,59
86,1.993886655782262e-07,9.382996495332918e-07,6.899205828858612e-08,2.4448289082101837e-07,1.3039660018421273e-07,7.100521770553314e-07,59
87,2.642519802975585e-07,1.263476974600053e-06,7.348222652581171e-08,2.5618180643505184e-07,1.9076975377174676e-07,1.0262193654853036e-06,59
88,3.7793120100104716e-07,1.780622596925241e-06,7.024610226835648e-08,2.695713021694246e-07,3.076852124195284e-07,1.5214059203572106e-06,59
89,1.8519878608458384e-07,9.301932664129708e-07,4.694084054790437e-08,1.576184587293028e-07,1.3825798816924362e-07,7.872291121202579e-07,59
90,2.5619246457608824e-07,1.1402526070014574e-06,1.4580970741917554e-07,4.7283748472182197e-07,1.1038277136776742e-07,7.190646442722937e-07,59
91,1.5138611786369438e-07,7.514561843890988e-07,8.549891816755917e-08,2.7480390940581856e-07,6.588725653955407e-08,5.136126333127322e-07,59
92,1.610420667930157e-07,8.451407325082982e-07,7.517274269730478e-08,2.5634298594923166e-07,8.586931699028355e-08,6.115668611528235e-07,59
93,9.270891609958198e-08,4.65245051373131e-07,5.1907971254649965e-08,1.7558311071752541e-07,4.0800959055786734e-08,3.0895762392901815e-07,59
94,2.611814409192448e-07,1.1302067832730245e-06,1.3605955473394715e-07,3.9080518376977125e-07,1.251218577635882e-07,8.009327530089649e-07,59
95,2.9528635536735237e-07,1.3709471886613755e-06,5.0062126888406056e-08,1.781257452648788e-07,2.4522424268980103e-07,1.204910518026736e-06,59
96,1.7096429871799046e-07,8.716486377124966e-07,1.1057453974672171e-07,3.266775934207544e-07,6.038981581468761e-08,6.034972557245055e-07,59
97,4.1194570599145663e-07,2.0122445221204543e-06,7.673385482576123e-08,2.3490626688271732e-07,3.3521172326800297e-07,1.8006554682870046e-06,59
98,1.2856546049988538e-07,6.409500770132581e-07,6.469532820574386e-08,2.0491712859893596e-07,6.387009676700472e-08,4.6627832261947333e-07,59
99,1.3239707641332643e-07,6.519688895423315e-07,6.65269226374221e-08,2.4440461743324704e-07,6.587014667047697e-08,4.254487748767133e-07,59
100,3.281521117060038e-07,1.5355599316535518e-06,1.0140816897319382e-07,3.214075263713312e-07,2.267439356273826e-07,1.2487466847233009e-06,59
101,2.955299862605898e-07,1.348017576674465e-06,9.665705391626034e-08,3.094701241934672e-07,1.9887289681719267e-07,1.0652312312231516e-06,59
102,3.472734988463344e-07,1.5171384575296543e-06,2.547799660135297e-08,9.388377009145188e-08,3.217955679701845e-07,1.4283353948485455e-06,59
103,3.510744193135906e-07,1.5371750805570628e-06,5.891852694617228e-08,2.0741492789966287e-07,2.9215587460384995e-07,1.3438750556815648e-06,59
104,2.5896704869410314e-07,1.2401991398292012e-06,5.456762508515567e-08,1.8906612808677892e-07,2.0439941295080644e-07,1.0634744285198394e-06,59
105,2.8418406827768194e-07,1.3542700116886408e-06,5.273821912510357e-08,1.816392085629559e-07,2.3144582428358262e-07,1.1879608337039826e-06,59
106,1.9382486016183975e-07,9.6935127658071e-07,7.089096953905027e-08,2.5494404098935775e-07,1.2293394036078098e-07,7.342157459788723e-07,59
107,2.3670959592436702e-07,1.0347071111027617e-06,1.227556083449599e-07,4.2253608967257605e-07,1.139539733685524e-07,6.495171760434459e-07,59
108,3.9557426134706475e-07,1.8238347365695518e-06,8.697843156824092e-08,2.9761596920252487e-07,3.0859584398967854e-07,1.550996216792555e-06,59
109,1.3723945357924094e-07,7.00996508840035e-07,4.557081823008957e-08,1.534135236624934e-07,9.16685962693009e-08,5.644996576847916e-07,59
110,3.534800896431989e-07,1.3848010667061317e-06,4.8315829559442136e-08,1.7785379213819397e-07,3.05164235214761e-07,1.2158432127762353e-06,59
111,2.253137836305541e-07,1.1369900221325224e-06,9.528485378496043e-08,3.138220847631601e-07,1.3002888010760216e-07,8.581525321460504e-07,59
112,2.12568139090763e-07,9.544891099722008e-07,1.4347143917348149e-07,4.6277480691969686e-07,6.90966857064268e-08,5.501307782651566e-07,59
113,2.422586646844138e-07,1.1039826404157793e-06,7.99843675736156e-08,2.665896374764998e-07,1.62274233161952e-07,8.592912195126701e-07,59
114,1.0994556731702687e-07,5.274332011140359e-07,7.195436779738884e-08,2.4620737804070814e-07,3.799123504677482e-08,3.06706482433583e-07,59
115,3.337466125685751e-07,1.6643745084365946e-06,5.2308621434349334e-08,1.6956850856786332e-07,2.8143807639935403e-07,1.5137810578380595e-06,59
116,2.9075928864585876e-07,1.3875710465072189e-06,2.7326199969479603e-08,9.828811897705236e-08,2.634331224271591e-07,1.296251980420493e-06,59
117,2.893989119456819e-07,1.4828617622697493e-06,5.876026420992275e-08,2.0942241008015117e-07,2.3063854825977614e-07,1.287321538256947e-06,59
118,6.884638281690059e-08,3.5142639376317675e-07,3.0392342864615784e-08,1.1500332419700499e-07,3.845401153057537e-08,2.443535436214006e-07,59
119,3.4146074767704704e-07,1.6643730305077042e-06,7.630135456793141e-08,2.649559860401496e-07,2.651594854796713e-07,1.419450427420088e-06,59
120,1.903894144561491e-07,8.946000775722496e-07,8.05498814315797e-08,2.6256668661517324e-07,1.0983951881371468e-07,6.559403118444607e-07,59
121,1.7204679636506626e-07,7.940727755340049e-07,1.6543562253445998e-07,5.223372454565833e-07,6.611190261907041e-09,3.965027701724466e-07,59
